,Users,mentioned,frequency
466,@dhenne23,@realDonaldTrump,1
467,@disgustedcats,@realDonaldTrump,1
468,@djsandbulte,@realDonaldTrump,1
469,@dklaidman,@realDonaldTrump,1
470,@dmd115,@realDonaldTrump,1
471,@dmock70,@realDonaldTrump,1
472,@docrussjackson,@realDonaldTrump,1
473,@donnathedon,@realDonaldTrump,1
474,@donwinslow,@realDonaldTrump,3
475,@dvillella,@realDonaldTrump,1
476,@dyerson_s,@realDonaldTrump,1
477,@eah1966,@realDonaldTrump,1
478,@ed5835us,@realDonaldTrump,1
479,@edison_goff,@realDonaldTrump,1
480,@edsinnh,@realDonaldTrump,1
481,@ericbolling,@realDonaldTrump,1
482,@erkanclk35,@realDonaldTrump,1
483,@eternalatake___,@realDonaldTrump,1
484,@etnyre1,@realDonaldTrump,1
485,@eugenegu,@realDonaldTrump,6
486,@fabmissem,@realDonaldTrump,1
487,@fatnixon2019,@realDonaldTrump,1
488,@fighter_nazi,@realDonaldTrump,1
489,@financialissues,@realDonaldTrump,1
490,@fiveodan,@realDonaldTrump,1
491,@fjcoughlin,@realDonaldTrump,1
492,@funder,@realDonaldTrump,1
493,@gailhennessey,@realDonaldTrump,1
494,@gatita_bonita_s,@realDonaldTrump,1
495,@gazordroig,@realDonaldTrump,1
496,@gdfuego,@realDonaldTrump,1
497,@genoejr,@realDonaldTrump,1
498,@ghost_walker50,@realDonaldTrump,1
499,@ginmarrienne,@realDonaldTrump,1
500,@girlsreallyrule,@realDonaldTrump,1
501,@girotto_teresa,@realDonaldTrump,1
502,@greer_gregg,@realDonaldTrump,1
503,@gtconway3d,@realDonaldTrump,1
504,@guidryjayne,@realDonaldTrump,1
505,@hcougar82,@realDonaldTrump,1
506,@hit_youtiao,@realDonaldTrump,1
507,@holliem71,@realDonaldTrump,1
508,@hsvkate2u,@realDonaldTrump,1
509,@hughvonN,@realDonaldTrump,1
510,@inittowinit007,@realDonaldTrump,2
511,@itsJeffTiedrich,@realDonaldTrump,5
512,@itsmemanozz,@realDonaldTrump,1
513,@jackiegontarek,@realDonaldTrump,1
514,@jaletine,@realDonaldTrump,1
515,@jasmith31,@realDonaldTrump,1
516,@jayteepee,@realDonaldTrump,1
517,@jayvald96804679,@realDonaldTrump,1
518,@jeff_durrell,@realDonaldTrump,1
519,@jeffso,@realDonaldTrump,1
520,@jenifer__5,@realDonaldTrump,1
521,@jewlzz_X,@realDonaldTrump,1
522,@jheil,@realDonaldTrump,1
523,@jimmyotx,@realDonaldTrump,1
524,@jmathill,@realDonaldTrump,1
525,@joecagle77,@realDonaldTrump,1
526,@joelockhart,@realDonaldTrump,2
527,@john_ega,@realDonaldTrump,1
528,@johnpavlovitz,@realDonaldTrump,1
529,@jptrehyjr,@realDonaldTrump,2
530,@jr7138,@realDonaldTrump,1
531,@jrmkingston,@realDonaldTrump,1
532,@jrpsaki,@realDonaldTrump,1
533,@jstringerfl,@realDonaldTrump,1
534,@jtkirk161,@realDonaldTrump,1
535,@julianyu18,@realDonaldTrump,1
536,@juliek09,@realDonaldTrump,1
537,@jvillian00,@realDonaldTrump,1
538,@k_ovfefe2,@realDonaldTrump,1
539,@kayleighmcenany,@realDonaldTrump,1
540,@kbaylor1,@realDonaldTrump,1
541,@kennebunk1979,@realDonaldTrump,1
542,@kevin_avant,@realDonaldTrump,1
543,@kevinreilly88,@realDonaldTrump,1
544,@kiloloyc,@realDonaldTrump,1
545,@kimguilfoyle,@realDonaldTrump,1
546,@kimmons2,@realDonaldTrump,1
547,@knowscity,@realDonaldTrump,1
548,@ksthornton,@realDonaldTrump,1
549,@kt_shows,@realDonaldTrump,1
550,@kylie_sadie,@realDonaldTrump,1
551,@lSolarrll,@realDonaldTrump,1
552,@labsmith68,@realDonaldTrump,1
553,@ladynewenglaand,@realDonaldTrump,1
554,@lanaRu52,@realDonaldTrump,1
555,@lancemmons1,@realDonaldTrump,1
556,@larryjamad,@realDonaldTrump,1
557,@lbrentdmd,@realDonaldTrump,1
558,@ldelevingne,@realDonaldTrump,1
559,@lemieux_a,@realDonaldTrump,1
560,@leonardsmuse,@realDonaldTrump,1
561,@leungchunyip1,@realDonaldTrump,1
562,@lilia25139704,@realDonaldTrump,1
563,@lissasno1fan,@realDonaldTrump,1
564,@llbelk1,@realDonaldTrump,1
565,@lmp1019,@realDonaldTrump,1
566,@locolockman,@realDonaldTrump,1
567,@lori_ratica,@realDonaldTrump,1
568,@lowrad57,@realDonaldTrump,1
569,@lwood612,@realDonaldTrump,1
570,@m_berndoyle,@realDonaldTrump,1
571,@macscotchman,@realDonaldTrump,1
572,@magacalicpa,@realDonaldTrump,1
573,@magsatlarge,@realDonaldTrump,1
574,@makeamericabud,@realDonaldTrump,1
575,@marc_lotter,@realDonaldTrump,2
576,@markkayeshow,@realDonaldTrump,1
577,@mbw955,@realDonaldTrump,1
578,@mccunecicki,@realDonaldTrump,1
579,@mehdirezai16,@realDonaldTrump,1
580,@mfstern,@realDonaldTrump,1
581,@michael27777,@realDonaldTrump,1
582,@michaelbeatty3,@realDonaldTrump,7
583,@michellemalkin,@realDonaldTrump,1
584,@mlttanaka,@realDonaldTrump,1
585,@mo_wham,@realDonaldTrump,1
586,@mobetter4ya,@realDonaldTrump,1
587,@mountainlady15,@realDonaldTrump,1
588,@mpmacal,@realDonaldTrump,1
589,@mrzhang93217321,@realDonaldTrump,1
590,@mullen335,@realDonaldTrump,1
591,@mush6_28,@realDonaldTrump,1
592,@mvannortwick24,@realDonaldTrump,1
593,@mymonkeysmom,@realDonaldTrump,1
594,@nXgenR,@realDonaldTrump,1
595,@nene_pinto,@realDonaldTrump,1
596,@njmackem,@realDonaldTrump,1
597,@no_silenced,@realDonaldTrump,1
598,@ocdrx,@realDonaldTrump,1
599,@ocho_824,@realDonaldTrump,1
600,@ohiomedic1,@realDonaldTrump,1
601,@ohlightynight,@realDonaldTrump,1
602,@onefig,@realDonaldTrump,1
603,@owillis,@realDonaldTrump,1
604,@parscale,@realDonaldTrump,1
605,@pengtenglil,@realDonaldTrump,1
606,@peteferg,@realDonaldTrump,1
607,@pink_lady56,@realDonaldTrump,1
608,@pinkk9lover,@realDonaldTrump,1
609,@politicsnat,@realDonaldTrump,1
610,@pollsofpolitics,@realDonaldTrump,1
611,@pollyresists,@realDonaldTrump,1
612,@priestcraig1,@realDonaldTrump,1
613,@princessgumboot,@realDonaldTrump,1
614,@prose4hof,@realDonaldTrump,1
